⺁	〔※⺁※丿※丿※※〕
㖦	〔※口※木※日※󰀝※〕
㖧	〔※口※󰁚※󰀁※日※〕
㖨	〔※口※󰁭※氺※󰁶※〕
㖩	〔※口※耳※又※󰁶※〕
㖪	〔※口※戈※口※󰀞※〕
㖫	〔※口※土※八※夂※〕
㖬	〔※口※臼※又※󰁶※〕
㖭	〔※口※丿※大※⺗※〕
㖮	〔※口※人※一※艹※〕
㖯	〔※冂※一※口※匕※〕
㖰	〔※口※匕※冂※口※〕
㖱	〔※亠※亻※夂※口※〕
㖲	〔※女※口※口※匕※〕
㖳	〔※氵※女※口※匕※〕
㖴	〔※口※艹※勹※󰁤※〕
㖵	〔※口※󰀣※八※󰁶※〕
㖶	〔※口※覀※土※󰀝※〕
㖷	〔※口※日※一※󰁾※〕
㖸	〔※口※虍※匚※一※〕
㖹	〔※口※八※刀※皿※〕
㖺	〔※口※三※人※日※〕
㖻	〔※口※󰁻※乛※木※〕
㖼	〔※口※甘※木※󰁶※〕
㖽	〔※口※丆※貝※󰁶※〕
㖾	〔※口※口※䒑※丿※〕
㖿	〔※口※耳※阝※󰀢※〕
㗀	〔※口※山※幺※幺※〕
㗁	〔※口※口※口※󰁔※〕
㗂	〔※口※小※丿※目※〕
㗃	〔※口※󰁂※󰀁※日※〕
㗄	〔※口※罒※方※󰁥※〕
㗅	〔※口※古※月※󰀝※〕
㗆	〔※口※廿※󰀜※󰀢※〕
㗇	〔※口※󰁃※丨※又※〕
㗈	〔※口※󰁻※󰀒※力※〕
㗉	〔※三※丨※刀※口※〕
㗊	〔※口※口※口※口※〕
㗋	〔※口※⺈※厂※大※〕
㗌	〔※口※宀※一※土※〕
㗍	〔※口※禾※日※󰀝※〕
㗎	〔※口※力※口※木※〕
㗏	〔※口※丆※卜※止※〕
㗐	〔※口※大※丶※皿※〕
㗑	〔※口※󰂀※三※十※〕
㗒	〔※口※󰁸※󰀔※󰁶※〕
㗓	〔※口※丿※㠯※辶※〕
㗔	〔※口※虍※文※󰁶※〕
㗕	〔※口※󰀀※冂※土※〕
㗖	〔※口※爫※臼※󰀝※〕
㗗	〔※口※力※白※十※〕
㗘	〔※口※甫※寸※󰁶※〕
㗙	〔※口※勹※凵※丿※〕
㗚	〔※口※覀※木※󰁶※〕
㗛	〔※口※⺮※丿※大※〕
㗜	〔※口※亠※幺※田※〕
㗝	〔※口※䒑※王※灬※〕
㗞	〔※口※石※皮※󰁶※〕
㗟	〔※氵※丶※王※匕※〕
㗠	〔※女※厶※口※匕※〕
㗡	〔※艹※亻※乃※匕※〕
㗢	〔※口※丿※一※力※〕
㗣	〔※口※廿※儿※丨※〕
㗤	〔※戊※上※小※口※〕
㗥	〔※口※󰁸※孑※阝※〕
㗦	〔※口※耳※󰁚※卩※〕
㗧	〔※口※宀※八※土※〕
㗨	〔※匚※󰁿※大※口※〕
㗩	〔※口※羽※白※󰀝※〕
㗪	〔※口※止※匕※小※〕
㗫	〔※口※󰁯※二※小※〕
㗬	〔※⺌※冖※口※夕※〕
㗭	〔※口※丿※米※心※〕
㗮	〔※夕※口※广※人※〕
㗯	〔※土※丿※日※匕※〕
㗰	〔※口※彳※人※󰁾※〕
㗱	〔※口※亻※󰁷※木※〕
㗲	〔※口※󰁬※土※一※〕
㗳	〔※口※⺮※人※口※〕
㗴	〔※口※門※月※󰀝※〕
㗵	〔※口※火※火※人※〕
㗶	〔※口※癶※弓※又※〕
㗷	〔※口※宀※󰀀※贝※〕
㗸	〔※口※彳※󰁿※丁※〕
㗹	〔※口※亻※󰁷※心※〕
㗺	〔※口※一※大※三※〕
㗻	〔※口※󰀿※󰁈※辶※〕
㗼	〔※口※业※丷※未※〕
㗽	〔※󰁲※丿※丶※口※〕
㗾	〔※口※廿※󰀜※󰁳※〕
㗿	〔※口※門※丁※口※〕
㘀	〔※口※臼※米※󰁶※〕
㘁	〔※口※皿※土※十※〕
㘂	〔※口※䒑※幺※心※〕
㘃	〔※口※艹※󰁼※心※〕
㘄	〔※口※木※罒※方※〕
㘅	〔※口※彳※釒※丁※〕
㘆	〔※口※士※口※土※〕
㘇	〔※口※火※火※木※〕
㘈	〔※口※匕※󰁿※󰁾※〕
㘉	〔※口※⺮※󰁮※卩※〕
㘊	〔※口※󰀙※言※󰀝※〕
㘋	〔※口※匚※丨※貝※〕
㘌	〔※口※虍※一※刂※〕
㘍	〔※口※小※亻※戈※〕
㘎	〔※口※门※乛※攵※〕
㘏	〔※䒑※丿※目※匕※〕
㘐	〔※口※󰀋※灬※乂※〕
㘑	〔※口※士※二※氺※〕
㘒	〔※禾※丿※一※匕※〕
㘓	〔※口※門※木※󰀹※〕
㘔	〔※口※宀※󰀀※貝※〕
㘕	〔※口※艹※匚※皿※〕
㘖	〔※口※立※丿※貝※〕
㘗	〔※口※目※目※󰁷※〕
㘘	〔※言※糹※糹※口※〕
㘙	〔※口※口※口※攵※〕
㘚	〔※口※門※乛※攵※〕
㘛	〔※口※人※一※三※〕
㘜	〔※亻※󰁷※言※口※〕
㘝	〔※囗※又※󰀦※※〕
㘞	〔※囗※力※󰀏※※〕
㘟	〔※囗※廾※󰀵※※〕
㘠	〔※囗※心※丿※󰀏※〕
㘡	〔※囗※甲※󰀵※※〕
㘢	〔※囗※⺌※一※儿※〕
㘣	〔※囗※口※月※󰀌※〕
㘤	〔※囗※氵※󰀲※一※〕
㘥	〔※囗※爫※󰁿※小※〕
㘦	〔※土※力※󰁥※※〕
㘧	〔※土※󰁻※乛※亅※〕
㘨	〔※土※冂※人※󰁶※〕
㘩	〔※土※󰁴※匕※󰁀※〕
㘪	〔※土※毛※󰁀※※〕
㘫	〔※土※二※󰀯※󰀢※〕
㘬	〔※土※勹※厶※󰁶※〕
㘭	〔※土※幺※󰂁※󰁀※〕
㘮	〔※土※尸※󰂃※󰁶※〕
㘯	〔※土※󰁿※力※󰁥※〕
㘰	〔※土※󰁦※十※󰀢※〕
㘱	〔※土※冂※土※󰀝※〕
㘲	〔※土※尸※九※󰁀※〕
㘳	〔※󰁩※匕※土※󰀘※〕
㘴	〔※口※人※土※󰀌※〕
㘵	〔※土※󰁼※冂※丨※〕
㘶	〔※夕※㐄※土※󰀘※〕
㘷	〔※土※艹※乂※󰁶※〕
㘸	〔※一※夕※匕※土※〕
㘹	〔※止※匕※土※󰀘※〕
㘺	〔※土※亻※戈※󰁶※〕
㘻	〔※土※囗※大※󰁶※〕
㘼	〔※土※土※丿※󰁔※〕
㘽	〔※十※戈※土※󰀌※〕
㘾	〔※土※宀※一※󰀛※〕
㘿	〔※土※日※土※󰀝※〕
㙀	〔※土※宀※八※九※〕
㙁	〔※土※󰁿※母※󰁶※〕
㙂	〔※土※丷※口※儿※〕
㙃	〔※土※丘※八※󰁶※〕
㙄	〔※土※󰁴※匕※土※〕
㙅	〔※土※口※木※󰁶※〕
㙆	〔※土※宀※󰁼※厶※〕
㙇	〔※土※一※󰀓※󰁶※〕
㙈	〔※土※虍※几※󰁀※〕
㙉	〔※土※󰀿※󰁺※八※〕
㙊	〔※土※󰀍※󰀖※󰁶※〕
㙋	〔※土※󰀎※八※󰁶※〕
㙌	〔※土※󰁬※丨※八※〕
㙍	〔※土※又※又※又※〕
㙎	〔※土※戊※一※女※〕
㙏	〔※土※󰁿※日※夂※〕
㙐	〔※土※山※丆※󰀭※〕
㙑	〔※丿※口※冂※土※〕
㙒	〔※田※󰁻※乛※土※〕
㙓	〔※土※土※土※土※〕
㙔	〔※土※󰁆※口※㐄※〕
㙕	〔※土※田※月※󰀝※〕
㙖	〔※土※丿※口※丶※〕
㙗	〔※土※田※一※󰀖※〕
㙘	〔※土※覀※女※󰀝※〕
㙙	〔※氵※󰁼※乚※土※〕
㙚	〔※土※丷※王※󰀟※〕
㙛	〔※土※甫※寸※󰁶※〕
㙜	〔※󰁸※冂※口※土※〕
㙝	〔※土※力※力※月※〕
㙞	〔※土※丿※目※木※〕
㙟	〔※土※丶※󰁮※月※〕
㙠	〔※匚※󰁿※大※土※〕
㙡	〔※土※彳※人※󰁾※〕
㙢	〔※土※廿※冂※丶※〕
㙣	〔※土※弓※󰀍※󰀖※〕
㙤	〔※土※虍※丿※󰀛※〕
㙥	〔※土※六※口※󰀔※〕
㙦	〔※人※一※朩※土※〕
㙧	〔※土※一※󰀭※田※〕
㙨	〔※土※幺※幺※人※〕
㙩	〔※土※大※丷※小※〕
㙪	〔※土※士※冖※䒑※〕
㙫	〔※土※亻※󰁷※木※〕
㙬	〔※木※人※人※土※〕
